0,1,0.05,1,0.0999999,1,0.15,1,0.2,1,0.25,1,0.3,1,0.35,1,0.4,1,0.45,1,0.5,1,0.55,1,0.6,1,0.65,1,0.699999,1,0.749999,1,0.799999,1,0.849999,1,0.899999,1,0.949999,1,0.999999,1,1.05,1,1.1,1,1.15,1,1.2,1,1.25,1,1.3,1,1.35,1,1.4,1,1.45,1,1.5,1
0.0166666,0.966667,0.0665992,0.966666,0.116472,0.966664,0.166289,0.966662,0.216056,0.966659,0.265774,0.966655,0.315446,0.966652,0.365076,0.966648,0.414664,0.966644,0.464215,0.966641,0.513729,0.966637,0.563211,0.966634,0.612661,0.966631,0.662084,0.966629,0.711481,0.966627,0.760854,0.966625,0.810207,0.966624,0.859542,0.966624,0.90886,0.966625,0.958163,0.966626,1.00745,0.966627,1.05674,0.96663,1.10601,0.966632,1.15527,0.966636,1.20453,0.966639,1.25378,0.966643,1.30303,0.966648,1.35227,0.966652,1.40152,0.966657,1.45076,0.966662,1.5,0.966667
0.0333333,0.933333,0.0831536,0.933331,0.13286,0.933327,0.182461,0.933322,0.231964,0.933316,0.281374,0.933309,0.330695,0.933302,0.379934,0.933295,0.429095,0.933287,0.478182,0.93328,0.527201,0.933273,0.576157,0.933267,0.625055,0.933261,0.6739,0.933257,0.722696,0.933253,0.771448,0.933251,0.820162,0.933249,0.86884,0.933249,0.917489,0.93325,0.96611,0.933253,1.01471,0.933256,1.06329,0.933261,1.11185,0.933266,1.16039,0.933273,1.20893,0.93328,1.25746,0.933288,1.30597,0.933296,1.35448,0.933305,1.40299,0.933314,1.4515,0.933324,1.5,0.933333
0.0499999,0.9,0.0996668,0.899996,0.149171,0.899989,0.198524,0.899981,0.247734,0.899972,0.29681,0.899962,0.345758,0.899951,0.394587,0.89994,0.443304,0.899929,0.491917,0.899918,0.540431,0.899909,0.588856,0.8999,0.637197,0.899892,0.685464,0.899886,0.733662,0.899881,0.781798,0.899877,0.829879,0.899876,0.877912,0.899876,0.925902,0.899878,0.973854,0.899881,1.02177,0.899887,1.06967,0.899893,1.11753,0.899901,1.16538,0.899911,1.21321,0.899922,1.26103,0.899933,1.30884,0.899946,1.35663,0.899959,1.40442,0.899972,1.45221,0.899986,1.5,0.9
0.0666665,0.866667,0.116142,0.86666,0.165409,0.866651,0.214483,0.866639,0.263373,0.866627,0.312091,0.866613,0.360646,0.866599,0.409048,0.866584,0.457307,0.86657,0.505432,0.866556,0.553434,0.866544,0.601321,0.866533,0.649104,0.866523,0.696792,0.866515,0.744395,0.866509,0.79192,0.866505,0.839376,0.866504,0.886771,0.866504,0.934113,0.866507,0.981408,0.866512,1.02866,0.866519,1.07588,0.866528,1.12307,0.866539,1.17024,0.866551,1.21738,0.866565,1.26451,0.86658,1.31162,0.866597,1.35873,0.866613,1.40582,0.866631,1.45291,0.866649,1.5,0.866667
0.0833331,0.833333,0.13258,0.833324,0.181579,0.833311,0.230344,0.833297,0.278889,0.833281,0.327226,0.833264,0.375367,0.833246,0.423326,0.833228,0.471113,0.833211,0.518741,0.833195,0.566222,0.83318,0.613568,0.833166,0.66079,0.833155,0.7079,0.833146,0.754909,0.833139,0.801827,0.833135,0.848665,0.833134,0.895432,0.833135,0.942136,0.833138,0.988785,0.833145,1.03539,0.833154,1.08195,0.833165,1.12848,0.833178,1.17497,0.833193,1.22145,0.83321,1.2679,0.833229,1.31434,0.833249,1.36076,0.833269,1.40718,0.83329,1.45359,0.833312,1.5,0.833333
0.0999998,0.8,0.148985,0.799987,0.197684,0.799972,0.246113,0.799954,0.294288,0.799935,0.342223,0.799914,0.389933,0.799893,0.437432,0.799872,0.484735,0.799852,0.531856,0.799834,0.578809,0.799816,0.625609,0.799801,0.672268,0.799789,0.7188,0.799779,0.765219,0.799771,0.811535,0.799767,0.857761,0.799766,0.903906,0.799768,0.949982,0.799773,0.995996,0.79978,1.04196,0.799791,1.08787,0.799804,1.13375,0.79982,1.1796,0.799838,1.22541,0.799858,1.27121,0.799879,1.31699,0.799902,1.36275,0.799926,1.40851,0.79995,1.45425,0.799975,1.5,0.8
0.116666,0.766667,0.165358,0.766651,0.213728,0.766632,0.261796,0.766611,0.309577,0.766588,0.35709,0.766564,0.404351,0.76654,0.451377,0.766517,0.498184,0.766494,0.544789,0.766473,0.591207,0.766455,0.637456,0.766438,0.68355,0.766424,0.729505,0.766414,0.775335,0.766406,0.821054,0.766402,0.866673,0.766401,0.912206,0.766404,0.957662,0.76641,1.00305,0.766419,1.04838,0.766431,1.09367,0.766446,1.13891,0.766464,1.18411,0.766484,1.22929,0.766507,1.27444,0.766531,1.31958,0.766557,1.36469,0.766583,1.4098,0.766611,1.4549,0.766639,1.5,0.766667
0.133333,0.733333,0.181701,0.733314,0.229715,0.733292,0.277396,0.733267,0.324763,0.733241,0.371834,0.733215,0.41863,0.733188,0.465168,0.733162,0.511468,0.733138,0.557548,0.733115,0.603426,0.733094,0.64912,0.733077,0.694648,0.733062,0.740026,0.733051,0.78527,0.733043,0.830395,0.73304,0.875414,0.733039,0.92034,0.733043,0.965185,0.73305,1.00996,0.73306,1.05467,0.733074,1.09933,0.733091,1.14395,0.733111,1.18853,0.733134,1.23308,0.733158,1.2776,0.733185,1.3221,0.733213,1.36659,0.733242,1.41107,0.733272,1.45553,0.733303,1.5,0.733333
0.15,0.7,0.198015,0.699977,0.245647,0.699952,0.292918,0.699924,0.33985,0.699895,0.386462,0.699866,0.432777,0.699837,0.478815,0.699809,0.524597,0.699782,0.570144,0.699758,0.615475,0.699737,0.660612,0.699718,0.705572,0.699703,0.750373,0.699692,0.795033,0.699684,0.839568,0.699681,0.883992,0.699681,0.928319,0.699685,0.972561,0.699694,1.01673,0.699705,1.06083,0.699721,1.10488,0.699739,1.14889,0.699761,1.19285,0.699785,1.23679,0.699812,1.28069,0.69984,1.32458,0.699871,1.36845,0.699902,1.4123,0.699934,1.45615,0.699967,1.5,0.7
0.166666,0.666667,0.214302,0.666641,0.261528,0.666612,0.308367,0.666582,0.354843,0.66655,0.400979,0.666518,0.446798,0.666487,0.492323,0.666457,0.537578,0.666429,0.582584,0.666404,0.627364,0.666381,0.671939,0.666362,0.716329,0.666347,0.760555,0.666336,0.804633,0.666329,0.848582,0.666325,0.892416,0.666326,0.93615,0.666332,0.979797,0.666341,1.02337,0.666354,1.06687,0.666371,1.11032,0.666391,1.15373,0.666414,1.19709,0.66644,1.24042,0.666468,1.28372,0.666498,1.327,0.66653,1.37026,0.666563,1.41352,0.666598,1.45676,0.666632,1.5,0.666667
0.183333,0.633333,0.230563,0.633304,0.277359,0.633273,0.323746,0.633239,0.369748,0.633205,0.415391,0.633171,0.4607,0.633138,0.5057,0.633107,0.550417,0.633078,0.594875,0.633052,0.639098,0.633029,0.683108,0.63301,0.726928,0.632995,0.770578,0.632983,0.814078,0.632977,0.857444,0.632974,0.900693,0.632976,0.943841,0.632982,0.986899,0.632992,1.02988,0.633006,1.0728,0.633024,1.11566,0.633045,1.15847,0.633069,1.20124,0.633097,1.24397,0.633126,1.28668,0.633158,1.32937,0.633191,1.37204,0.633226,1.4147,0.633261,1.45735,0.633297,1.5,0.633333
0.2,0.6,0.2468,0.599968,0.293144,0.599933,0.339057,0.599898,0.384567,0.599862,0.429701,0.599826,0.474487,0.599792,0.518951,0.599759,0.563122,0.59973,0.607024,0.599703,0.650685,0.59968,0.694127,0.599661,0.737376,0.599646,0.780451,0.599635,0.823373,0.599629,0.86616,0.599627,0.90883,0.599629,0.951397,0.599636,0.993874,0.599647,1.03627,0.599662,1.07861,0.599681,1.12089,0.599703,1.16312,0.599728,1.20531,0.599756,1.24746,0.599787,1.28959,0.59982,1.3317,0.599854,1.37379,0.59989,1.41586,0.599926,1.45793,0.599963,1.5,0.6
0.216666,0.566667,0.263014,0.566632,0.308883,0.566595,0.354304,0.566557,0.399304,0.566519,0.443914,0.566482,0.488163,0.566447,0.532081,0.566414,0.575695,0.566384,0.619036,0.566357,0.662129,0.566334,0.705001,0.566315,0.747676,0.566301,0.790177,0.566291,0.832524,0.566285,0.874736,0.566284,0.916831,0.566287,0.958823,0.566294,1.00073,0.566306,1.04255,0.566322,1.08432,0.566341,1.12602,0.566364,1.16768,0.56639,1.2093,0.566419,1.25088,0.56645,1.29244,0.566484,1.33398,0.566519,1.3755,0.566555,1.417,0.566592,1.4585,0.566629,1.5,0.566667
0.233333,0.533333,0.279205,0.533296,0.32458,0.533257,0.369489,0.533218,0.413963,0.533179,0.458033,0.533141,0.501732,0.533105,0.545092,0.533072,0.588142,0.533041,0.630913,0.533015,0.673435,0.532992,0.715733,0.532974,0.757835,0.53296,0.799762,0.53295,0.841536,0.532945,0.883177,0.532945,0.924701,0.532949,0.966125,0.532957,1.00746,0.532969,1.04872,0.532986,1.08992,0.533006,1.13106,0.533029,1.17216,0.533055,1.21321,0.533084,1.25424,0.533116,1.29524,0.53315,1.33621,0.533185,1.37717,0.533221,1.41812,0.533258,1.45906,0.533296,1.5,0.533333
0.249999,0.5,0.295374,0.499961,0.340234,0.49992,0.384613,0.499879,0.428543,0.499839,0.47206,0.499801,0.515196,0.499765,0.557986,0.499732,0.600463,0.499702,0.642659,0.499676,0.684604,0.499654,0.726327,0.499637,0.767854,0.499623,0.809208,0.499614,0.850412,0.49961,0.891485,0.49961,0.932444,0.499615,0.973304,0.499624,1.01408,0.499636,1.05478,0.499653,1.09542,0.499673,1.13601,0.499697,1.17655,0.499723,1.21706,0.499753,1.25753,0.499784,1.29798,0.499817,1.33841,0.499852,1.37882,0.499889,1.41922,0.499925,1.45961,0.499963,1.5,0.5
0.266666,0.466667,0.311522,0.466625,0.355847,0.466584,0.399677,0.466542,0.443047,0.466502,0.485995,0.466464,0.528555,0.466428,0.570765,0.466395,0.61266,0.466366,0.654274,0.466341,0.695639,0.46632,0.736783,0.466303,0.777735,0.466291,0.818518,0.466283,0.859154,0.466279,0.899663,0.46628,0.940061,0.466285,0.980365,0.466295,1.02059,0.466308,1.06074,0.466324,1.10083,0.466345,1.14087,0.466368,1.18087,0.466394,1.22083,0.466423,1.26076,0.466454,1.30067,0.466487,1.34056,0.466522,1.38043,0.466557,1.42029,0.466593,1.46015,0.46663,1.5,0.466667
0.283333,0.433333,0.327648,0.433291,0.371419,0.433248,0.414682,0.433207,0.457475,0.433166,0.499838,0.433129,0.541809,0.433094,0.583428,0.433062,0.624733,0.433034,0.665758,0.43301,0.706538,0.43299,0.747102,0.432974,0.787479,0.432963,0.827692,0.432956,0.867763,0.432953,0.907712,0.432954,0.947556,0.43296,0.987308,0.432969,1.02698,0.432983,1.06659,0.433,1.10614,0.43302,1.14565,0.433043,1.18511,0.433068,1.22454,0.433097,1.26394,0.433127,1.30331,0.433159,1.34267,0.433193,1.38201,0.433227,1.42135,0.433262,1.46068,0.433298,1.5,0.433333
0.299999,0.4,0.343754,0.399957,0.386949,0.399914,0.429626,0.399872,0.471824,0.399833,0.513587,0.399796,0.554956,0.399762,0.595973,0.399732,0.636679,0.399705,0.67711,0.399682,0.717301,0.399664,0.757284,0.399649,0.797085,0.399639,0.83673,0.399633,0.87624,0.399631,0.915633,0.399633,0.954927,0.399639,0.994135,0.399648,1.03327,0.399662,1.07234,0.399678,1.11136,0.399698,1.15034,0.39972,1.18927,0.399745,1.22817,0.399772,1.26705,0.399802,1.30591,0.399833,1.34474,0.399865,1.38357,0.399898,1.42238,0.399932,1.46119,0.399966,1.5,0.4
0.316666,0.366667,0.359838,0.366623,0.402437,0.366581,0.444508,0.36654,0.486093,0.366501,0.527239,0.366466,0.567992,0.366434,0.608396,0.366405,0.648494,0.36638,0.688325,0.366359,0.727925,0.366341,0.767324,0.366328,0.806552,0.366319,0.845631,0.366314,0.884583,0.366313,0.923426,0.366315,0.962176,0.366321,1.00085,0.366331,1.03945,0.366344,1.07799,0.36636,1.11649,0.366379,1.15494,0.366401,1.19336,0.366425,1.23175,0.366451,1.27011,0.366478,1.30845,0.366508,1.34678,0.366538,1.38509,0.36657,1.4234,0.366602,1.4617,0.366634,1.5,0.366667
0.333333,0.333333,0.375899,0.33329,0.417881,0.333249,0.459324,0.333209,0.500277,0.333172,0.540789,0.333138,0.580911,0.333108,0.620691,0.333081,0.660173,0.333058,0.699399,0.333039,0.738404,0.333023,0.777221,0.333011,0.815875,0.333003,0.854392,0.332999,0.892791,0.332999,0.93109,0.333001,0.969302,0.333008,1.00744,0.333017,1.04552,0.33303,1.08354,0.333045,1.12152,0.333063,1.15946,0.333084,1.19737,0.333106,1.23525,0.333131,1.27311,0.333157,1.31095,0.333185,1.34878,0.333213,1.38659,0.333243,1.4244,0.333273,1.4622,0.333303,1.5,0.333333
0.349999,0.3,0.391937,0.299958,0.433277,0.299918,0.474069,0.29988,0.514368,0.299845,0.554228,0.299813,0.593705,0.299785,0.632849,0.299761,0.671708,0.29974,0.710324,0.299722,0.748734,0.299708,0.786967,0.299698,0.825052,0.299691,0.863011,0.299688,0.900862,0.299688,0.938622,0.299691,0.976304,0.299697,1.01392,0.299707,1.05148,0.299719,1.08899,0.299733,1.12646,0.29975,1.1639,0.299769,1.20131,0.29979,1.23869,0.299813,1.27605,0.299837,1.3134,0.299863,1.35074,0.299889,1.38806,0.299916,1.42538,0.299944,1.46269,0.299972,1.5,0.3
0.366666,0.266667,0.407948,0.266626,0.44862,0.266588,0.488736,0.266552,0.528358,0.26652,0.567546,0.266491,0.606362,0.266465,0.644859,0.266443,0.683089,0.266425,0.721092,0.266409,0.758905,0.266397,0.796558,0.266389,0.834077,0.266383,0.871483,0.26638,0.908792,0.266381,0.94602,0.266384,0.983179,0.26639,1.02028,0.266399,1.05733,0.26641,1.09434,0.266424,1.13131,0.266439,1.16825,0.266457,1.20517,0.266476,1.24206,0.266497,1.27894,0.266519,1.31581,0.266542,1.35266,0.266566,1.3895,0.266591,1.42634,0.266616,1.46317,0.266641,1.5,0.266667
