0,16,1,16,2,16,3,16,4,16,5,16,6,16,7,16,8,16,9,16,10,16,11,16,12,16,13,16,14,16,15,16,16,16,17,16,18,16,19,16,20,16,21,16,22,16,23,16,24,16,25,16,26,16,27,16,28,16,29,16,30,16,31,16,32,16
0,15,0.99999,15.0093,1.99998,15.0187,2.99997,15.0282,3.99996,15.038,4.99995,15.048,5.99995,15.0582,6.99994,15.0685,7.99993,15.0788,8.99993,15.0887,9.99992,15.0982,10.9999,15.1068,11.9999,15.1144,12.9999,15.1206,13.9999,15.1252,14.9999,15.128,15.9999,15.129,16.9999,15.128,17.9999,15.1252,18.9999,15.1206,19.9999,15.1144,20.9999,15.1068,21.9999,15.0982,22.9999,15.0887,23.9999,15.0788,25,15.0685,26,15.0582,27,15.048,28,15.038,29,15.0282,30,15.0187,31,15.0093,32,15
0,14,0.999981,14.0185,1.99996,14.0372,2.99994,14.0563,3.99993,14.0758,4.99991,14.0959,5.9999,14.1164,6.99988,14.1371,7.99987,14.1578,8.99986,14.178,9.99985,14.1972,10.9998,14.2147,11.9998,14.2301,12.9998,14.2427,13.9998,14.2521,14.9998,14.2579,15.9998,14.2599,16.9998,14.2579,17.9998,14.2522,18.9998,14.2428,19.9999,14.2301,20.9999,14.2147,21.9999,14.1972,22.9999,14.178,23.9999,14.1578,24.9999,14.1371,25.9999,14.1164,26.9999,14.0959,27.9999,14.0758,29,14.0563,30,14.0372,31,14.0185,32,14
0,13,0.999972,13.0275,1.99995,13.0554,2.99992,13.0838,3.99989,13.1131,4.99987,13.1433,5.99985,13.1743,6.99983,13.2058,7.99981,13.2373,8.9998,13.2683,9.99979,13.2977,10.9998,13.3248,11.9998,13.3486,12.9998,13.3682,13.9998,13.3827,14.9998,13.3917,15.9998,13.3947,16.9998,13.3917,17.9998,13.3827,18.9998,13.3682,19.9998,13.3486,20.9998,13.3249,21.9998,13.2978,22.9998,13.2683,23.9998,13.2374,24.9999,13.2058,25.9999,13.1743,26.9999,13.1433,27.9999,13.1131,28.9999,13.0838,30,13.0554,31,13.0275,32,13
0,12,0.999965,12.0362,1.99993,12.0729,2.9999,12.1105,3.99987,12.1495,4.99984,12.1899,5.99981,12.2316,6.99979,12.2744,7.99977,12.3175,8.99975,12.36,9.99973,12.4007,10.9997,12.4383,11.9997,12.4713,12.9997,12.4986,13.9997,12.5189,14.9997,12.5314,15.9997,12.5356,16.9997,12.5314,17.9997,12.5189,18.9997,12.4986,19.9997,12.4714,20.9998,12.4383,21.9998,12.4008,22.9998,12.36,23.9998,12.3175,24.9998,12.2744,25.9999,12.2317,26.9999,12.1899,27.9999,12.1495,28.9999,12.1106,30,12.0729,31,12.0362,32,12
0,11,0.999959,11.0444,1.99992,11.0895,2.99988,11.136,3.99985,11.1844,4.99981,11.2351,5.99978,11.288,6.99975,11.3427,7.99973,11.3983,8.99971,11.4536,9.99969,11.5069,10.9997,11.5563,11.9997,11.5999,12.9997,11.6359,13.9997,11.6628,14.9996,11.6794,15.9997,11.685,16.9997,11.6794,17.9997,11.6628,18.9997,11.636,19.9997,11.5999,20.9997,11.5563,21.9997,11.5069,22.9998,11.4536,23.9998,11.3983,24.9998,11.3427,25.9998,11.2881,26.9999,11.2352,27.9999,11.1845,28.9999,11.136,29.9999,11.0895,31,11.0444,32,11
0,10,0.999955,10.0518,1.99991,10.1046,2.99987,10.1595,3.99983,10.2172,4.99979,10.2782,5.99976,10.3426,6.99973,10.41,7.9997,10.4794,8.99968,10.5491,9.99966,10.6169,10.9996,10.6801,11.9996,10.7361,12.9996,10.7825,13.9996,10.8171,14.9996,10.8385,15.9996,10.8457,16.9996,10.8385,17.9996,10.8171,18.9996,10.7825,19.9997,10.7361,20.9997,10.6801,21.9997,10.6169,22.9997,10.5492,23.9998,10.4795,24.9998,10.4101,25.9998,10.3427,26.9998,10.2782,27.9999,10.2172,28.9999,10.1595,29.9999,10.1047,31,10.0518,32,10
0,9,0.999953,9.05817,1.99991,9.11779,2.99986,9.18022,3.99982,9.24661,4.99978,9.31783,5.99975,9.39422,6.99972,9.47545,7.99969,9.5603,8.99966,9.64663,9.99964,9.73142,10.9996,9.8111,11.9996,9.882,12.9996,9.94073,13.9996,9.98459,14.9996,10.0117,15.9996,10.0208,16.9996,10.0117,17.9996,9.98461,18.9996,9.94076,19.9996,9.88203,20.9997,9.81114,21.9997,9.73146,22.9997,9.64668,23.9997,9.56036,24.9998,9.4755,25.9998,9.39428,26.9998,9.31788,27.9999,9.24666,28.9999,9.18025,29.9999,9.11782,31,9.05819,32,9
0,8,0.999953,8.06311,1.99991,8.12815,2.99986,8.19696,3.99982,8.27123,4.99978,8.35232,5.99975,8.44102,6.99971,8.53725,7.99969,8.63971,8.99966,8.74569,9.99964,8.85109,10.9996,8.95093,11.9996,9.04006,12.9996,9.1139,13.9996,9.16892,14.9996,9.20279,15.9996,9.21422,16.9996,9.2028,17.9996,9.16894,18.9996,9.11393,19.9996,9.04009,20.9997,8.95097,21.9997,8.85114,22.9997,8.74574,23.9997,8.63977,24.9998,8.5373,25.9998,8.44107,26.9998,8.35237,27.9999,8.27127,28.9999,8.197,29.9999,8.12818,31,8.06313,32,8
0,7,0.999954,7.06613,1.99991,7.13474,2.99987,7.20825,3.99983,7.28904,4.99979,7.3792,5.99976,7.48029,6.99972,7.59282,7.9997,7.71562,8.99967,7.84534,9.99965,7.97634,10.9996,8.10148,11.9996,8.21343,12.9996,8.3059,13.9996,8.37443,14.9996,8.41638,15.9996,8.4305,16.9996,8.41639,17.9996,8.37444,18.9996,8.30592,19.9997,8.21347,20.9997,8.10153,21.9997,7.97638,22.9997,7.84539,23.9997,7.71568,24.9998,7.59287,25.9998,7.48035,26.9998,7.37925,27.9999,7.28908,28.9999,7.20829,29.9999,7.13476,31,7.06615,32,7
